"","ProductTypeAccessories","ProductTypeDisplay","ProductTypeExtendedWarranty","ProductTypeGameConsole","ProductTypeLaptop","ProductTypeNetbook","ProductTypePC","ProductTypePrinter","ProductTypePrinterSupplies","ProductTypeSmartphone","ProductTypeSoftware","ProductTypeTablet","ProductNum","Price","x5StarReviews","x4StarReviews","x3StarReviews","x2StarReviews","x1StarReviews","PositiveServiceReview","NegativeServiceReview","Recommendproduct","Volume","predictions"
"1",0,0,0,0,0,0,1,0,0,0,0,0,171,699,96,26,14,14,25,12,3,0.7,0,201.593688502146
"2",0,0,0,0,0,0,1,0,0,0,0,0,172,860,51,11,10,10,21,7,5,0.6,0,152.435903534177
"3",0,0,0,0,1,0,0,0,0,0,0,0,173,1199,74,10,3,3,11,11,5,0.8,0,348.659124069617
"4",0,0,0,0,1,0,0,0,0,0,0,0,175,1199,7,2,1,1,1,2,1,0.6,0,305.046192923795
"5",0,0,0,0,1,0,0,0,0,0,0,0,176,1999,1,1,1,3,0,0,1,0.3,0,671.478823616911
"6",0,0,0,0,0,1,0,0,0,0,0,0,178,399.99,19,8,4,1,10,2,4,0.6,0,231.351710475078
"7",0,0,0,0,0,1,0,0,0,0,0,0,180,329,312,112,28,31,47,28,16,0.7,0,585.053641922461
"8",0,0,0,0,0,1,0,0,0,0,0,0,181,439,23,18,7,22,18,5,16,0.4,0,239.045705273461
"9",0,0,0,0,0,1,0,0,0,0,0,0,183,330,3,4,0,1,0,1,0,0.7,0,277.300777301584
"10",0,0,0,0,0,0,0,0,0,0,0,1,186,629,296,66,30,21,36,28,9,0.8,0,534.777754930822
"11",0,0,0,0,0,0,0,0,0,0,0,1,187,199,943,437,224,160,247,90,23,0.8,0,1145.91382775154
"12",0,0,0,0,0,0,0,0,0,1,0,0,193,199,99,26,12,16,35,8,6,0.4,0,251.196986480522
"13",0,0,0,0,0,0,0,0,0,1,0,0,194,49,100,26,37,33,48,14,6,0.6,0,399.121682684201
"14",0,0,0,0,0,0,0,0,0,1,0,0,195,149,42,8,4,4,9,4,1,0.7,0,235.797216467757
"15",0,0,0,0,0,0,0,0,0,1,0,0,196,300,50,19,13,20,22,5,7,0.6,0,305.554211740925
"16",0,0,0,1,0,0,0,0,0,0,0,0,199,249.99,462,97,25,17,58,32,12,0.8,0,1578.88062872997
"17",0,1,0,0,0,0,0,0,0,0,0,0,201,140,4,0,0,0,2,1,1,0.7,0,142.220549963327
"18",1,0,0,0,0,0,0,0,0,0,0,0,301,20.99,30,1,5,0,0,2,0,0.9,0,282.67126998013
"19",1,0,0,0,0,0,0,0,0,0,0,0,302,8.5,25,2,2,4,15,2,1,0.5,0,46.6003257805119
"20",0,0,0,0,0,0,0,0,0,0,1,0,303,70.99,29,18,3,1,8,4,2,0.8,0,264.518068118413
"21",0,0,0,0,0,0,0,1,0,0,0,0,304,199.99,88,8,3,1,3,5,1,0.8,0,254.045761735205
"22",0,0,0,0,0,0,0,0,1,0,0,0,305,20.99,5,0,0,0,0,1,0,1,0,173.386849826498
"23",0,0,1,0,0,0,0,0,0,0,0,0,306,99.99,0,1,1,1,1,0,3,0.4,0,149.329447644818
"24",0,0,0,1,0,0,0,0,0,0,0,0,307,425,1525,252,99,56,45,59,13,0.9,0,2616.18287546693
